,Number,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary,Color,hasGender,Pr_Male,Egg_Group_1,Egg_Group_2,hasMegaEvolution,Height_m,Weight_kg,Catch_Rate,Body_Style,species,Pr_Female,BMI,region
150,151,Mew,Psychic,None,600,100,100,100,100,100,100,1,False,Pink,False,0.0,Undiscovered,None,False,0.41,4.0,45,bipedal_tailed,New Species,0.0,23.7953599048,Kanto
151,152,Chikorita,Grass,None,318,45,49,65,49,65,45,2,False,Green,True,0.875,Monster,Grass,False,0.89,6.4,45,quadruped,Leaf,0.125,8.07978790557,Johto
152,153,Bayleef,Grass,None,405,60,62,80,63,80,60,2,False,Green,True,0.875,Monster,Grass,False,1.19,15.8,45,quadruped,Leaf,0.125,11.1574041381,Johto
153,154,Meganium,Grass,None,525,80,82,100,83,100,80,2,False,Green,True,0.875,Monster,Grass,False,1.8,100.5,45,quadruped,Herb,0.125,31.0185185185,Johto
154,155,Cyndaquil,Fire,None,309,39,52,43,60,50,65,2,False,Yellow,True,0.875,Field,None,False,0.51,7.9,45,bipedal_tailless,Fire Mouse,0.125,30.3729334871,Johto
155,156,Quilava,Fire,None,405,58,64,58,80,65,80,2,False,Yellow,True,0.875,Field,None,False,0.89,19.0,45,quadruped,Volcano,0.125,23.9868703447,Johto
156,157,Typhlosion,Fire,None,534,78,84,78,109,85,100,2,False,Yellow,True,0.875,Field,None,False,1.7,79.5,45,quadruped,Volcano,0.125,27.508650519,Johto
157,158,Totodile,Water,None,314,50,65,64,44,48,43,2,False,Blue,True,0.875,Monster,Water_1,False,0.61,9.5,45,bipedal_tailed,Big Jaw,0.125,25.530771298,Johto
158,159,Croconaw,Water,None,405,65,80,80,59,63,58,2,False,Blue,True,0.875,Monster,Water_1,False,1.09,25.0,45,bipedal_tailed,Big Jaw,0.125,21.0419998317,Johto
159,160,Feraligatr,Water,None,530,85,105,100,79,83,78,2,False,Blue,True,0.875,Monster,Water_1,False,2.31,88.8,45,bipedal_tailed,Big Jaw,0.125,16.6413672907,Johto
160,161,Sentret,Normal,None,215,35,46,34,35,45,20,2,False,Brown,True,0.5,Field,None,False,0.79,6.0,255,quadruped,Scout,0.5,9.61384393527,Johto
161,162,Furret,Normal,None,415,85,76,64,45,55,90,2,False,Brown,True,0.5,Field,None,False,1.8,32.5,90,quadruped,Long Body,0.5,10.0308641975,Johto
162,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,Brown,True,0.5,Flying,None,False,0.71,21.2,255,two_wings,Owl,0.5,42.0551477881,Johto
163,164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,Brown,True,0.5,Flying,None,False,1.6,40.8,90,two_wings,Owl,0.5,15.9375,Johto
164,165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,Red,True,0.5,Bug,None,False,0.99,10.8,255,two_wings,Five Star,0.5,11.0192837466,Johto
165,166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,Red,True,0.5,Bug,None,False,1.4,35.6,90,two_wings,Five Star,0.5,18.1632653061,Johto
166,167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,Green,True,0.5,Bug,None,False,0.51,8.5,255,insectoid,String Spit,0.5,32.6797385621,Johto
167,168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False,Red,True,0.5,Bug,None,False,1.09,33.5,90,insectoid,Long Leg,0.5,28.1962797744,Johto
168,169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,Purple,True,0.5,Flying,None,False,1.8,75.0,90,four_wings,Bat,0.5,23.1481481481,Johto
169,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,Blue,True,0.5,Water_2,None,False,0.51,12.0,190,with_fins,Angler,0.5,46.1361014994,Johto
170,171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,Blue,True,0.5,Water_2,None,False,1.19,22.5,75,with_fins,Light,0.5,15.8887084245,Johto
171,172,Pichu,Electric,None,205,20,40,15,35,35,60,2,False,Yellow,True,0.5,Undiscovered,None,False,0.3,2.0,190,quadruped,Tiny Mouse,0.5,22.2222222222,Johto
172,173,Cleffa,Fairy,None,218,50,25,28,45,55,15,2,False,Pink,True,0.25,Undiscovered,None,False,0.3,3.0,150,bipedal_tailed,Star Shape,0.75,33.3333333333,Johto
173,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,Pink,True,0.25,Undiscovered,None,False,0.3,1.0,170,bipedal_tailless,Balloon,0.75,11.1111111111,Johto
174,175,Togepi,Fairy,None,245,35,20,65,40,65,20,2,False,White,True,0.875,Undiscovered,None,False,0.3,1.5,190,bipedal_tailless,Spike Ball,0.125,16.6666666667,Johto
175,176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,White,True,0.875,Flying,Fairy,False,0.61,3.2,75,bipedal_tailless,Happiness,0.125,8.59983875302,Johto
176,177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,Green,True,0.5,Flying,None,False,0.2,2.0,190,two_wings,Tiny Bird,0.5,50.0,Johto
177,178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,Green,True,0.5,Flying,None,False,1.5,15.0,75,two_wings,Mystic,0.5,6.66666666667,Johto
178,179,Mareep,Electric,None,280,55,40,40,65,45,35,2,False,White,True,0.5,Monster,Field,False,0.61,7.8,235,quadruped,Wool,0.5,20.9621069605,Johto
179,180,Flaaffy,Electric,None,365,70,55,55,80,60,45,2,False,Pink,True,0.5,Monster,Field,False,0.79,13.3,120,bipedal_tailed,Wool,0.5,21.3106873898,Johto
180,181,Ampharos,Electric,None,510,90,75,85,115,90,55,2,False,Yellow,True,0.5,Monster,Field,True,1.4,61.5,45,bipedal_tailed,Light,0.5,31.3775510204,Johto
181,182,Bellossom,Grass,None,490,75,80,95,90,100,50,2,False,Green,True,0.5,Grass,None,False,0.41,5.8,45,bipedal_tailless,Flower,0.5,34.503271862,Johto
182,183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,Blue,True,0.5,Water_1,Fairy,False,0.41,8.5,190,bipedal_tailed,Aqua Mouse,0.5,50.5651397977,Johto
183,184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,Blue,True,0.5,Water_1,Fairy,False,0.79,28.5,75,bipedal_tailed,Aqua Rabbit,0.5,45.6657586925,Johto
184,185,Sudowoodo,Rock,None,410,70,100,115,30,65,30,2,False,Brown,True,0.5,Mineral,None,False,1.19,38.0,65,bipedal_tailless,Imitation,0.5,26.834263117,Johto
185,186,Politoed,Water,None,500,90,75,75,90,100,70,2,False,Green,True,0.5,Water_1,None,False,1.09,33.9,45,bipedal_tailed,Frog,0.5,28.5329517717,Johto
186,187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,Pink,True,0.5,Fairy,Grass,False,0.41,0.5,255,bipedal_tailed,Cottonweed,0.5,2.9744199881,Johto
187,188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,Green,True,0.5,Fairy,Grass,False,0.61,1.0,120,bipedal_tailed,Cottonweed,0.5,2.68744961032,Johto
188,189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,Blue,True,0.5,Fairy,Grass,False,0.79,3.0,45,bipedal_tailed,Cottonweed,0.5,4.80692196763,Johto
189,190,Aipom,Normal,None,360,55,70,55,40,55,85,2,False,Purple,True,0.5,Field,None,False,0.79,11.5,45,bipedal_tailed,Long Tail,0.5,18.4265342093,Johto
190,191,Sunkern,Grass,None,180,30,30,30,30,30,30,2,False,Yellow,True,0.5,Grass,None,False,0.3,1.8,235,head_only,Seed,0.5,20.0,Johto
191,192,Sunflora,Grass,None,425,75,75,55,105,85,30,2,False,Yellow,True,0.5,Grass,None,False,0.79,8.5,120,bipedal_tailless,Sun,0.5,13.6196122416,Johto
192,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,Red,True,0.5,Bug,None,False,1.19,38.0,75,four_wings,Clear Wing,0.5,26.834263117,Johto
193,194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,Blue,True,0.5,Water_1,Field,False,0.41,8.5,255,head_legs,Water Fish,0.5,50.5651397977,Johto
194,195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,Blue,True,0.5,Water_1,Field,False,1.4,75.0,90,bipedal_tailed,Water Fish,0.5,38.2653061224,Johto
195,196,Espeon,Psychic,None,525,65,65,60,130,95,110,2,False,Purple,True,0.875,Field,None,False,0.89,26.5,45,quadruped,Sun,0.125,33.4553717965,Johto
196,197,Umbreon,Dark,None,525,95,65,110,60,130,65,2,False,Black,True,0.875,Field,None,False,0.99,27.0,45,quadruped,Moonlight,0.125,27.5482093664,Johto
197,198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,Black,True,0.5,Flying,None,False,0.51,2.1,30,two_wings,Darkness,0.5,8.0738177624,Johto
198,199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,Pink,True,0.5,Monster,Water_1,False,2.01,79.5,70,bipedal_tailed,Royal,0.5,19.6777307492,Johto
199,200,Misdreavus,Ghost,None,435,60,60,60,85,85,85,2,False,Purple,True,0.5,Amorphous,None,False,0.71,1.0,45,head_only,Screech,0.5,1.98373338623,Johto
200,201,Unown,Psychic,None,336,48,72,48,72,48,48,2,False,Black,False,0.0,Undiscovered,None,False,0.51,5.0,225,head_only,Symbol,0.0,19.2233756248,Johto
201,202,Wobbuffet,Psychic,None,405,190,33,58,33,58,33,2,False,Blue,True,0.5,Amorphous,None,False,1.3,28.5,45,head_base,Patient,0.5,16.8639053254,Johto
202,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,Yellow,True,0.5,Field,None,False,1.5,41.5,60,quadruped,Long Neck,0.5,18.4444444444,Johto
203,204,Pineco,Bug,None,290,50,65,90,35,35,15,2,False,Grey,True,0.5,Bug,None,False,0.61,7.2,190,head_only,Bagworm,0.5,19.3496371943,Johto
204,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,Purple,True,0.5,Bug,None,False,1.19,125.8,75,head_only,Bagworm,0.5,88.8355342137,Johto
205,206,Dunsparce,Normal,None,415,100,70,70,65,65,45,2,False,Yellow,True,0.5,Field,None,False,1.5,14.0,190,serpentine_body,Land Snake,0.5,6.22222222222,Johto
206,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,Purple,True,0.5,Bug,None,False,1.09,64.8,60,two_wings,FlyScorpion,0.5,54.5408635637,Johto
207,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,Grey,True,0.5,Mineral,None,True,9.19,400.0,25,serpentine_body,Iron Snake,0.5,4.73618838663,Johto
208,209,Snubbull,Fairy,None,300,60,80,50,40,40,30,2,False,Pink,True,0.25,Field,Fairy,False,0.61,7.8,190,bipedal_tailless,Fairy,0.75,20.9621069605,Johto
209,210,Granbull,Fairy,None,450,90,120,75,60,60,45,2,False,Purple,True,0.25,Field,Fairy,False,1.4,48.7,75,bipedal_tailed,Fairy,0.75,24.8469387755,Johto
210,211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,Grey,True,0.5,Water_2,None,False,0.51,3.9,45,with_fins,Balloon,0.5,14.9942329873,Johto
211,212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,Red,True,0.5,Bug,None,True,1.8,118.0,25,four_wings,Pincer,0.5,36.4197530864,Johto
212,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False,Yellow,True,0.5,Bug,None,False,0.61,20.5,190,insectoid,Mold,0.5,55.0927170116,Johto
213,214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False,Blue,True,0.5,Bug,None,True,1.5,54.0,45,bipedal_tailless,Single Horn,0.5,24.0,Johto
214,215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False,Black,True,0.5,Field,None,False,0.89,28.0,60,bipedal_tailed,Sharp Claw,0.5,35.3490720869,Johto
215,216,Teddiursa,Normal,None,330,60,80,50,50,50,40,2,False,Brown,True,0.5,Field,None,False,0.61,8.8,120,bipedal_tailed,Little Bear,0.5,23.6495565708,Johto
216,217,Ursaring,Normal,None,500,90,130,75,75,75,55,2,False,Brown,True,0.5,Field,None,False,1.8,125.8,60,bipedal_tailed,Hibernator,0.5,38.8271604938,Johto
217,218,Slugma,Fire,None,250,40,40,40,70,40,20,2,False,Red,True,0.5,Amorphous,None,False,0.71,35.0,190,serpentine_body,Lava,0.5,69.4306685182,Johto
218,219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False,Red,True,0.5,Amorphous,None,False,0.79,55.0,75,serpentine_body,Lava,0.5,88.1269027399,Johto
219,220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False,Brown,True,0.5,Field,None,False,0.41,6.5,225,quadruped,Pig,0.5,38.6674598453,Johto
220,221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False,Brown,True,0.5,Field,None,False,1.09,55.8,75,quadruped,Swine,0.5,46.9657436243,Johto
221,222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False,Pink,True,0.25,Water_1,Water_3,False,0.61,5.0,60,insectoid,Coral,0.75,13.4372480516,Johto
222,223,Remoraid,Water,None,300,35,65,35,65,35,65,2,False,Grey,True,0.5,Water_1,Water_2,False,0.61,12.0,190,with_fins,Jet,0.5,32.2493953238,Johto
223,224,Octillery,Water,None,480,75,105,75,105,75,45,2,False,Red,True,0.5,Water_1,Water_2,False,0.89,28.5,75,several_limbs,Jet,0.5,35.980305517,Johto
224,225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False,Red,True,0.5,Water_1,Field,False,0.89,16.0,45,two_wings,Delivery,0.5,20.1994697639,Johto
225,226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False,Purple,True,0.5,Water_1,None,False,2.11,220.0,25,two_wings,Kite,0.5,49.4148828643,Johto
226,227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False,Grey,True,0.5,Flying,None,False,1.7,50.5,25,two_wings,Armor Bird,0.5,17.4740484429,Johto
227,228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False,Black,True,0.5,Field,None,False,0.61,10.8,120,quadruped,Dark,0.5,29.0244557915,Johto
228,229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False,Black,True,0.5,Field,None,True,1.4,35.0,45,quadruped,Dark,0.5,17.8571428571,Johto
229,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,Blue,True,0.5,Water_1,Dragon,False,1.8,152.0,45,head_base,Dragon,0.5,46.9135802469,Johto
230,231,Phanpy,Ground,None,330,90,60,60,40,40,40,2,False,Blue,True,0.5,Field,None,False,0.51,33.5,120,quadruped,Long Nose,0.5,128.796616686,Johto
231,232,Donphan,Ground,None,500,90,120,120,60,60,50,2,False,Grey,True,0.5,Field,None,False,1.09,120.0,60,quadruped,Armor,0.5,101.001599192,Johto
232,233,Porygon2,Normal,None,515,85,80,90,105,95,60,2,False,Red,False,0.0,Mineral,None,False,0.61,32.5,45,head_legs,Virtual,0.0,87.3421123354,Johto
233,234,Stantler,Normal,None,465,73,95,62,85,65,85,2,False,Brown,True,0.5,Field,None,False,1.4,71.2,45,quadruped,Big Horn,0.5,36.3265306122,Johto
234,235,Smeargle,Normal,None,250,55,20,35,20,45,75,2,False,White,True,0.5,Field,None,False,1.19,58.0,45,bipedal_tailed,Painter,0.5,40.9575594944,Johto
235,236,Tyrogue,Fighting,None,210,35,35,35,35,35,35,2,False,Purple,True,1.0,Undiscovered,None,False,0.71,21.0,75,bipedal_tailless,Scuffle,0.0,41.6584011109,Johto
236,237,Hitmontop,Fighting,None,455,50,95,95,35,110,70,2,False,Brown,True,1.0,Human-Like,None,False,1.4,48.0,45,bipedal_tailed,Handstand,0.0,24.4897959184,Johto
237,238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False,Pink,True,0.0,Undiscovered,None,False,0.41,6.0,45,bipedal_tailless,Kiss,1.0,35.6930398572,Johto
238,239,Elekid,Electric,None,360,45,63,37,65,55,95,2,False,Yellow,True,0.75,Undiscovered,None,False,0.61,23.5,45,bipedal_tailless,Electric,0.25,63.1550658425,Johto
239,240,Magby,Fire,None,365,45,75,37,70,55,83,2,False,Red,True,0.75,Undiscovered,None,False,0.71,21.4,45,bipedal_tailed,Live Coal,0.25,42.4518944654,Johto
240,241,Miltank,Normal,None,490,95,80,105,40,70,100,2,False,Pink,True,0.0,Field,None,False,1.19,75.5,45,bipedal_tailed,Milk Cow,1.0,53.3154438246,Johto
241,242,Blissey,Normal,None,540,255,10,10,75,135,55,2,False,Pink,True,0.0,Fairy,None,False,1.5,46.8,30,bipedal_tailless,Happiness,1.0,20.8,Johto
242,243,Raikou,Electric,None,580,90,85,75,115,100,115,2,True,Yellow,False,0.0,Undiscovered,None,False,1.91,178.0,3,quadruped,Thunder,0.0,48.7925221348,Johto
243,244,Entei,Fire,None,580,115,115,85,90,75,100,2,True,Brown,False,0.0,Undiscovered,None,False,2.11,198.0,3,quadruped,Volcano,0.0,44.4733945778,Johto
244,245,Suicune,Water,None,580,100,75,115,90,115,85,2,True,Blue,False,0.0,Undiscovered,None,False,2.01,187.0,3,quadruped,Aurora,0.0,46.2859830202,Johto
245,246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False,Green,True,0.5,Monster,None,False,0.61,72.0,45,bipedal_tailed,Rock Skin,0.5,193.496371943,Johto
246,247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False,Grey,True,0.5,Monster,None,False,1.19,152.0,45,serpentine_body,Hard Shell,0.5,107.337052468,Johto
247,248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False,Green,True,0.5,Monster,None,True,2.01,202.0,45,bipedal_tailed,Armor,0.5,49.9987624069,Johto
248,249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True,White,False,0.0,Undiscovered,None,False,5.21,216.0,3,two_wings,Diving,0.0,7.95753036571,Johto
249,250,Ho-Oh,Fire,Flying,680,106,130,90,110,154,90,2,True,Red,False,0.0,Undiscovered,None,False,3.81,199.0,3,two_wings,Rainbow,0.0,13.7089163067,Johto
250,251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False,Green,False,0.0,Undiscovered,None,False,0.61,5.0,45,bipedal_tailless,Time Travel,0.0,13.4372480516,Johto
251,252,Treecko,Grass,None,310,40,45,35,65,55,70,3,False,Green,True,0.875,Monster,Dragon,False,0.51,5.0,45,bipedal_tailed,Wood Gecko,0.125,19.2233756248,Hoenn
252,253,Grovyle,Grass,None,405,50,65,45,85,65,95,3,False,Green,True,0.875,Monster,Dragon,False,0.89,21.6,45,bipedal_tailed,Wood Gecko,0.125,27.2692841813,Hoenn
253,254,Sceptile,Grass,None,530,70,85,65,105,85,120,3,False,Green,True,0.875,Monster,Dragon,True,1.7,52.2,45,bipedal_tailed,Forest,0.125,18.062283737,Hoenn
254,255,Torchic,Fire,None,310,45,60,40,70,50,45,3,False,Red,True,0.875,Field,None,False,0.41,2.5,45,head_legs,Chick,0.125,14.8720999405,Hoenn
255,256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,Red,True,0.875,Field,None,False,0.89,19.5,45,bipedal_tailed,Young Fowl,0.125,24.6181037748,Hoenn
256,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,Red,True,0.875,Field,None,True,1.91,52.0,45,bipedal_tailed,Blaze,0.125,14.2539952304,Hoenn
257,258,Mudkip,Water,None,310,50,70,50,50,50,40,3,False,Blue,True,0.875,Monster,Water_1,False,0.41,7.6,45,quadruped,Mud Fish,0.125,45.2111838192,Hoenn
258,259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,Blue,True,0.875,Monster,Water_1,False,0.71,28.0,45,bipedal_tailed,Mud Fish,0.125,55.5445348145,Hoenn
259,260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,Blue,True,0.875,Monster,Water_1,True,1.5,81.9,45,bipedal_tailed,Mud Fish,0.125,36.4,Hoenn
260,261,Poochyena,Dark,None,220,35,55,35,30,30,35,3,False,Grey,True,0.5,Field,None,False,0.51,13.6,255,quadruped,Bite,0.5,52.2875816993,Hoenn
261,262,Mightyena,Dark,None,420,70,90,70,60,60,70,3,False,Grey,True,0.5,Field,None,False,0.99,37.0,127,quadruped,Bite,0.5,37.7512498725,Hoenn
262,263,Zigzagoon,Normal,None,240,38,30,41,30,41,60,3,False,Brown,True,0.5,Field,None,False,0.41,17.5,255,quadruped,TinyRaccoon,0.5,104.104699584,Hoenn
263,264,Linoone,Normal,None,420,78,70,61,50,61,100,3,False,White,True,0.5,Field,None,False,0.51,32.5,90,quadruped,Rushing,0.5,124.951941561,Hoenn
264,265,Wurmple,Bug,None,195,45,45,35,20,30,20,3,False,Red,True,0.5,Bug,None,False,0.3,3.6,255,serpentine_body,Worm,0.5,40.0,Hoenn
265,266,Silcoon,Bug,None,205,50,35,55,25,25,15,3,False,White,True,0.5,Bug,None,False,0.61,10.0,120,head_only,Cocoon,0.5,26.8744961032,Hoenn
266,267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False,Yellow,True,0.5,Bug,None,False,0.99,28.4,45,four_wings,Butterfly,0.5,28.9766350372,Hoenn
267,268,Cascoon,Bug,None,205,50,35,55,25,25,15,3,False,Purple,True,0.5,Bug,None,False,0.71,11.5,120,head_only,Cocoon,0.5,22.8129339417,Hoenn
268,269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False,Green,True,0.5,Bug,None,False,1.19,31.6,45,four_wings,Poison Moth,0.5,22.3148082763,Hoenn
269,270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,Green,True,0.5,Water_1,Grass,False,0.51,2.6,255,insectoid,Water Weed,0.5,9.99615532488,Hoenn
270,271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,Green,True,0.5,Water_1,Grass,False,1.19,32.5,120,bipedal_tailless,Jolly,0.5,22.9503566132,Hoenn
271,272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,Green,True,0.5,Water_1,Grass,False,1.5,55.0,45,bipedal_tailless,Carefree,0.5,24.4444444444,Hoenn
272,273,Seedot,Grass,None,220,40,40,50,30,30,30,3,False,Brown,True,0.5,Field,Grass,False,0.51,4.0,255,head_legs,Acorn,0.5,15.3787004998,Hoenn
273,274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False,Brown,True,0.5,Field,Grass,False,0.99,28.0,120,bipedal_tailless,Wily,0.5,28.568513417,Hoenn
274,275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False,Brown,True,0.5,Field,Grass,False,1.3,59.6,45,bipedal_tailless,Wicked,0.5,35.2662721893,Hoenn
275,276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,Blue,True,0.5,Flying,None,False,0.3,2.3,200,two_wings,TinySwallow,0.5,25.5555555556,Hoenn
276,277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False,Blue,True,0.5,Flying,None,False,0.71,19.8,45,two_wings,Swallow,0.5,39.2779210474,Hoenn
277,278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,White,True,0.5,Water_1,Flying,False,0.61,9.5,190,two_wings,Seagull,0.5,25.530771298,Hoenn
278,279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False,Yellow,True,0.5,Water_1,Flying,False,1.19,28.0,45,two_wings,Water Bird,0.5,19.7726149283,Hoenn
279,280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False,White,True,0.5,Amorphous,None,False,0.41,6.6,235,bipedal_tailless,Feeling,0.5,39.262343843,Hoenn
280,281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False,White,True,0.5,Amorphous,None,False,0.79,20.2,120,bipedal_tailless,Emotion,0.5,32.3666079154,Hoenn
281,282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False,White,True,0.5,Amorphous,None,True,1.6,48.4,45,bipedal_tailless,Embrace,0.5,18.90625,Hoenn
282,283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,Blue,True,0.5,Water_1,Bug,False,0.51,1.7,200,insectoid,Pond Skater,0.5,6.53594771242,Hoenn
283,284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False,Blue,True,0.5,Water_1,Bug,False,0.79,3.6,75,four_wings,Eyeball,0.5,5.76830636116,Hoenn
284,285,Shroomish,Grass,None,295,60,40,60,40,60,35,3,False,Brown,True,0.5,Fairy,Grass,False,0.41,4.5,255,head_legs,Mushroom,0.5,26.7697798929,Hoenn
285,286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False,Green,True,0.5,Fairy,Grass,False,1.19,39.2,90,bipedal_tailed,Mushroom,0.5,27.6816608997,Hoenn
286,287,Slakoth,Normal,None,280,60,60,60,35,35,30,3,False,Brown,True,0.5,Field,None,False,0.79,24.0,255,quadruped,Slacker,0.5,38.4553757411,Hoenn
287,288,Vigoroth,Normal,None,440,80,80,80,55,55,90,3,False,White,True,0.5,Field,None,False,1.4,46.5,120,bipedal_tailed,Wild Monkey,0.5,23.7244897959,Hoenn
288,289,Slaking,Normal,None,670,150,160,100,95,65,100,3,False,Brown,True,0.5,Field,None,False,2.01,130.5,45,bipedal_tailless,Lazy,0.5,32.3011806638,Hoenn
289,290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False,Grey,True,0.5,Bug,None,False,0.51,5.5,255,insectoid,Trainee,0.5,21.1457131872,Hoenn
290,291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False,Yellow,True,0.5,Bug,None,False,0.79,12.0,120,four_wings,Ninja,0.5,19.2276878705,Hoenn
291,292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False,Brown,False,0.0,Mineral,None,False,0.79,1.2,45,head_base,Shed,0.0,1.92276878705,Hoenn
292,293,Whismur,Normal,None,240,64,51,23,51,23,28,3,False,Pink,True,0.5,Monster,Field,False,0.61,16.3,190,bipedal_tailed,Whisper,0.5,43.8054286482,Hoenn
293,294,Loudred,Normal,None,360,84,71,43,71,43,48,3,False,Blue,True,0.5,Monster,Field,False,0.99,40.5,120,bipedal_tailed,Big Voice,0.5,41.3223140496,Hoenn
294,295,Exploud,Normal,None,490,104,91,63,91,73,68,3,False,Blue,True,0.5,Monster,Field,False,1.5,84.0,45,bipedal_tailed,Loud Noise,0.5,37.3333333333,Hoenn
295,296,Makuhita,Fighting,None,237,72,60,30,20,30,25,3,False,Yellow,True,0.75,Human-Like,None,False,0.99,86.4,180,bipedal_tailless,Guts,0.25,88.1542699725,Hoenn
296,297,Hariyama,Fighting,None,474,144,120,60,40,60,50,3,False,Brown,True,0.75,Human-Like,None,False,2.31,253.8,200,bipedal_tailless,Arm Thrust,0.25,47.5628267836,Hoenn
297,298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,Blue,True,0.25,Undiscovered,None,False,0.2,2.0,150,head_legs,Polka Dot,0.75,50.0,Hoenn
298,299,Nosepass,Rock,None,375,30,45,135,45,90,30,3,False,Grey,True,0.5,Mineral,None,False,0.99,97.0,255,bipedal_tailless,Compass,0.5,98.9694929089,Hoenn
299,300,Skitty,Normal,None,260,50,45,45,35,35,50,3,False,Pink,True,0.25,Field,Fairy,False,0.61,11.0,255,quadruped,Kitten,0.75,29.5619457135,Hoenn
300,301,Delcatty,Normal,None,380,70,65,65,55,55,70,3,False,Purple,True,0.25,Field,Fairy,False,1.09,32.6,60,quadruped,Prim,0.75,27.4387677805,Hoenn
301,302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False,Purple,True,0.5,Human-Like,None,True,0.51,11.0,45,bipedal_tailless,Darkness,0.5,42.2914263745,Hoenn
